0.963,-0.382,0.162,2.534,1.387,-0.026
0.987,-0.386,0.163,1.747,-2.529,0.234
1.006,-0.359,0.180,1.869,-1.743,-2.362
0.943,-0.372,0.219,6.831,0.929,-2.736
0.938,-0.375,0.161,7.595,-0.521,3.447
1.014,-0.405,0.208,7.564,0.868,3.432
1.051,-0.395,0.244,15.152,-1.063,-3.011

1.043,-1.089,0.602,150.900,35.242,-10.247
1.071,-1.137,0.223,156.335,24.792,-24.247
1.045,-1.146,0.150,130.862,7.265,-48.499
0.903,-1.166,0.507,128.389,6.883,-59.721
0.642,-1.226,0.683,156.976,-13.224,-53.515
0.514,-1.177,0.527,188.602,-46.949,-32.614
0.502,-1.125,0.210,204.724,-56.498,-7.095
0.486,-1.094,0.052,199.618,-33.124,12.211
0.549,-1.034,0.133,197.633,-11.346,25.882
0.553,-0.919,0.270,191.091,-12.796,23.768
0.305,-1.062,0.543,187.946,-61.445,20.234
0.532,-0.845,0.389,187.877,-119.659,14.455
0.909,-0.495,-0.365,137.221,-127.590,-26.263
1.088,-0.119,-0.516,47.618,-99.750,-85.102
1.026,0.203,-0.269,-2.016,-77.796,-131.308
0.815,0.487,-0.333,-47.039,-64.010,-162.995
0.677,0.816,-0.298,-72.031,-56.514,-168.026
0.622,0.958,-0.292,-72.527,-34.689,-147.293
0.795,1.045,-0.051,-38.825,17.990,-114.598
0.990,1.187,-0.126,15.763,71.334,-97.667
0.830,1.159,-0.413,45.908,74.356,-87.545
0.871,1.166,-0.860,13.549,51.204,-71.973
0.851,1.060,-0.874,-65.497,63.028,-45.102
0.900,0.846,-0.481,-145.161,62.639,-11.660
1.173,0.779,0.273,-174.802,36.944,4.104
1.160,0.626,0.730,-141.436,1.425,-0.232
1.212,0.520,0.689,-82.634,-23.873,-2.087
1.370,0.567,0.375,-45.589,-11.163,-12.339
1.241,0.561,0.240,-36.298,-19.537,-39.140
1.004,0.555,0.291,-21.627,-58.483,-54.896
0.847,0.482,0.230,3.037,-63.582,-48.087
0.818,0.436,0.028,19.526,-40.636,-30.721
0.917,0.464,-0.120,20.618,-25.743,-17.530
0.973,0.442,-0.193,9.160,-14.040,-15.049
0.986,0.397,-0.166,-4.138,-0.529,-15.995
0.939,0.345,-0.028,-15.138,10.708,-16.568
0.939,0.331,0.105,-15.520,4.662,-13.797
0.987,0.309,0.201,-9.176,9.624,-12.118
0.972,0.280,0.229,-1.917,17.036,-12.469
0.986,0.285,0.294,6.969,8.502,-13.850
1.008,0.297,0.268,16.648,12.074,-19.637
1.014,0.339,0.226,15.358,16.410,-26.507
0.951,0.373,0.278,16.358,6.204,-32.079
0.883,0.356,0.295,17.793,3.524,-28.522
0.883,0.387,0.241,17.320,7.914,-20.255
0.915,0.400,0.161,7.045,7.898,-16.125
0.950,0.423,0.232,-7.192,3.013,-19.285
0.951,0.406,0.342,-6.405,1.059,-22.255
0.913,0.415,0.369,2.801,4.624,-20.476
0.875,0.430,0.302,7.007,7.028,-15.118

0.541,-0.779,-0.860,-153.695,50.654,47.829
0.087,-1.729,1.047,-210.566,81.250,98.516
0.394,-2.000,1.814,-98.115,88.921,149.134
1.096,-1.536,0.861,-10.337,70.624,153.402
1.333,-1.258,0.100,-51.375,54.975,99.318
1.329,-1.213,0.627,-85.176,37.982,21.463
1.136,-0.963,1.146,-37.909,23.028,-29.652
0.714,-0.947,1.056,37.564,23.303,-29.431
0.646,-0.732,0.535,73.702,32.120,-6.904
0.840,-0.285,0.005,46.549,31.555,-3.766
0.776,-0.306,0.092,-10.207,6.540,-4.728
0.745,-0.501,0.556,-30.321,-24.147,1.783
0.835,-0.410,0.606,-2.924,-45.208,0.394
0.805,-0.267,0.219,-4.993,-48.193,-3.667
0.675,-0.261,0.285,-24.008,-38.040,6.905
0.643,-0.452,0.455,-18.970,-29.636,29.493
0.918,-0.384,0.278,-13.092,-32.308,30.348
1.087,-0.196,0.178,-25.405,-37.827,6.661
0.836,-0.316,0.290,-35.054,-35.697,-0.797
0.791,-0.388,0.501,-19.512,-26.109,16.844
0.846,-0.342,0.370,6.404,-9.575,28.089
0.894,-0.357,0.167,5.244,6.929,32.356
1.025,-0.372,0.181,-12.650,7.326,27.386
1.062,-0.411,0.380,-13.352,-3.659,12.531
0.934,-0.420,0.302,-7.092,-7.201,2.142
0.832,-0.399,0.296,-9.146,-0.911,4.776
0.841,-0.378,0.378,-3.520,6.868,17.089
0.882,-0.438,0.358,1.869,10.845,27.402
0.964,-0.472,0.317,0.587,6.960,26.539
1.035,-0.471,0.307,-6.199,4.219,14.081
0.992,-0.486,0.410,-7.253,2.181,4.821
0.916,-0.485,0.482,5.862,4.998,8.944
